article_number,image number,alt,article_heading,article_url
1,1,Much-needed tools to help monitor kids’ online activity is now available for parents or guardians.,From Snapchat to YouTube here's how to monitor and protect your kids online,https://www.usatoday.com/story/tech/columnist/komando/2024/10/03/how-to-protect-kids-online/75395925007/
2,1,The Legend of Zelda: Echoes of Wisdom available now for Nintendo Switch.,Legend of Zelda: Echoes of Wisdom: What to know about new Nintendo Switch game,https://www.usatoday.com/story/tech/gaming/2024/09/26/legend-of-zelda-echoes-of-wisdom-nintendo-switch-game/75382391007/
3,1,Crooks continue to bombard email accounts with spam in an effort to steal your cash.,Spam alert: How to spot crooks trying to steal money via email,https://www.usatoday.com/story/tech/columnist/komando/2024/09/26/how-to-spot-spam-email-scams/75313067007/
4,1,Wednesday's Google Doodle features a popcorn game with kernels vying to be the last one standing.,What is the Google Doodle today? Popcorn kernels run around in Wednesday's Doodle,https://www.usatoday.com/story/tech/news/2024/09/24/google-doodle-today-popcorn/75355628007/
5,1,A man in an electronics store shopping for a laptop,Is it time to buy an AI-powered Copilot+ PC?,https://www.usatoday.com/story/tech/2024/09/21/why-to-buy-copilot-pc/75267733007/
6,1,An Oracle field office in Redwood Shores California pictured on June 13 2022.,How to get your share of Oracle's $115 million class-action settlement; deadline is coming,https://www.usatoday.com/story/tech/news/2024/09/20/file-claim-oracle-class-action-lawsuit/75313110007/
6,2,Oracle a tech giant has agreed to pay out a $115 million to settle a class action lawsuit but have denied any wrongdoing over the allegations outlined in the suit.,How to get your share of Oracle's $115 million class-action settlement; deadline is coming,https://www.usatoday.com/story/tech/news/2024/09/20/file-claim-oracle-class-action-lawsuit/75313110007/
7,1,Attendees inspect the new iPhone 16 Pro and 16 Pro Max during an Apple special event at Apple headquarters on September 9 2024 in Cupertino California. Apple held an event to showcase the new iPhone 16 Airpods and Apple Watch models.,Best tech gadgets for the fall: Gear up for the season with these new gadgets,https://www.usatoday.com/story/tech/2024/09/20/best-tech-gadgets-for-fall/75306694007/
7,2,The Amazon Echo Dot featured on a nightstand,Best tech gadgets for the fall: Gear up for the season with these new gadgets,https://www.usatoday.com/story/tech/2024/09/20/best-tech-gadgets-for-fall/75306694007/
7,3,The new ASUS Zenbook starting at $1400,Best tech gadgets for the fall: Gear up for the season with these new gadgets,https://www.usatoday.com/story/tech/2024/09/20/best-tech-gadgets-for-fall/75306694007/
7,4,The WD My Passport 6TB,Best tech gadgets for the fall: Gear up for the season with these new gadgets,https://www.usatoday.com/story/tech/2024/09/20/best-tech-gadgets-for-fall/75306694007/
7,5,The AstroAI L7 tire inflator conveniently fits inside of a cupholder.,Best tech gadgets for the fall: Gear up for the season with these new gadgets,https://www.usatoday.com/story/tech/2024/09/20/best-tech-gadgets-for-fall/75306694007/
7,6,The 20-in-1 multifunctional cleaner kit from VICHYIE,Best tech gadgets for the fall: Gear up for the season with these new gadgets,https://www.usatoday.com/story/tech/2024/09/20/best-tech-gadgets-for-fall/75306694007/
7,7,The CFM Buds Pro 2 from UK-based Nothing,Best tech gadgets for the fall: Gear up for the season with these new gadgets,https://www.usatoday.com/story/tech/2024/09/20/best-tech-gadgets-for-fall/75306694007/
7,8,Avoid the empty cans by switching to the Aerflo Aer1.,Best tech gadgets for the fall: Gear up for the season with these new gadgets,https://www.usatoday.com/story/tech/2024/09/20/best-tech-gadgets-for-fall/75306694007/
7,9,Each reusable CO2 capsule is capable of carbonating the equivalent of four 16 oz water bottles.,Best tech gadgets for the fall: Gear up for the season with these new gadgets,https://www.usatoday.com/story/tech/2024/09/20/best-tech-gadgets-for-fall/75306694007/
8,1,The logo for LinkedIn Corporation a social networking networking website for people in professional occupations.,LinkedIn is using your data to train generative AI models. Here's how to opt out.,https://www.usatoday.com/story/tech/2024/09/19/linkedin-generative-ai-data/75292339007/
9,1,In a Google Docs document you can dictate text instead of typing to save time.,Tech tips to turn yourself into a Google Workspace and Microsoft Office pro,https://www.usatoday.com/story/tech/columnist/komando/2024/09/19/google-workspace-microsoft-office-tips/75255689007/
10,1,The view of notifications from Teen Accounts.,What are Instagram Teen Accounts? Here's what to know about the new accounts with tighter restrictions,https://www.usatoday.com/story/tech/2024/09/17/instagram-teen-accounts/75261741007/
10,2,The teen explore feature.,What are Instagram Teen Accounts? Here's what to know about the new accounts with tighter restrictions,https://www.usatoday.com/story/tech/2024/09/17/instagram-teen-accounts/75261741007/
10,3,Additional supervision features for parents.,What are Instagram Teen Accounts? Here's what to know about the new accounts with tighter restrictions,https://www.usatoday.com/story/tech/2024/09/17/instagram-teen-accounts/75261741007/
10,4,The younger teen view of requests for a settings change.,What are Instagram Teen Accounts? Here's what to know about the new accounts with tighter restrictions,https://www.usatoday.com/story/tech/2024/09/17/instagram-teen-accounts/75261741007/
