article_number,image number,alt,article_heading
1,1,Melted ice floats in the Arctic Ocean glacier area of ​​Norway on June 22 (local time). Shinwha Union,Greenland 1 year ago 198m-high tsunami... Earth shook for 9 days
2,1,Russian Telegram users protest in May 2018 holding up a portrait of Telegram founder Pavel Durov as an adult. Durov who was at odds with the Russian government at the time has since dramatically improved relations and provided financial support.,Will Telegram founder Durov and Putin's 'black connection' be exposed?
2,2,Telegram symbol paper planes are seen in front of the French embassy in Moscow on August 25 to protest the arrest of Durov. Photo: Newsis,Will Telegram founder Durov and Putin's 'black connection' be exposed?
2,3,Dubai-based Telegram founder Pavel Durov (left) meets with UAE Supreme Ruler Mohammed bin Rashid Al Maktoum. photo X,Will Telegram founder Durov and Putin's 'black connection' be exposed?
3,1,World-renowned pop star Taylor Swift attends and watches the 58th Super Bowl (the final of the American Football League NFL) held at Allegiant Arena in Las Vegas Nevada USA on the 11th (local time). 2024.02.11 ⓒ Reuters =,Swift Winfrey Musk… Eyes on Celebrity Endorsements in the US Presidential Election
3,2,Harris-Walz Friendship Bracelet Made by Kamala Harris Camp &lt;Source=Harris Camp Website&gt;,Swift Winfrey Musk… Eyes on Celebrity Endorsements in the US Presidential Election
4,1,◆… Kirill Budanov Chief of the Information Directorate of the Ukrainian Defense Ministry. Photo = Reuters,Ukraine: North Korea is our biggest headache among Russia's allies
5,1,Chinese electric car production plant / Reuters = News 1,“3 out of 4 domestic cars are electric”… Typhoon from China getting stronger [China is China]
5,2,China's electric vehicle sales trends China's electric vehicle export trends/Graphics = Lee Ji-hye,“3 out of 4 domestic cars are electric”… Typhoon from China getting stronger [China is China]
5,3,Trend of electric vehicle market share in China/Graphic=Lee Ji-hye,“3 out of 4 domestic cars are electric”… Typhoon from China getting stronger [China is China]
5,4,Top 10 electric vehicle sales in China in August/Graphics=Jiyoung Kim,“3 out of 4 domestic cars are electric”… Typhoon from China getting stronger [China is China]
5,5,China's Automobile Export Trends/Graphics=Kim Ji-young,“3 out of 4 domestic cars are electric”… Typhoon from China getting stronger [China is China]
5,6,BYD electric vehicles waiting to be shipped at a Chinese port/Reuters=News 1,“3 out of 4 domestic cars are electric”… Typhoon from China getting stronger [China is China]
6,1,"[Seoul = Newsis][Seoul = Newsis] Ukrainian media reported that Russia is using the self-propelled long-range anti-tank missile ""Phoenix-4"" which is called the North Korean version of the Spike missile in Ukraine. On the right is the one that appeared in the 2018 North Korean military parade.",Ukraine Warns: North Korea's Arms Transfers to Russia 'Biggest Threat'
7,1,[Washington=AP/Newsis] U.S. President Joe Biden (right) toasts with NATO Secretary General Jens Stoltenberg at a dinner for leaders of North Atlantic Treaty Organization (NATO) allies and partners in the East Room of the White House on July 10.,NATO Secretary-General Stoltenberg: Europe is a different Europe after the invasion of Ukraine
8,1,Electric scooters line a street in Frankfurt Germany. AP=Yonhap News,BTS' Suga also gets the last 'Lawless Road'... Completely kicked out of Paris
8,2,An electric scooter is ridden around a lake in sub-zero temperatures in Melbourne Australia. AFP=Yonhap News,BTS' Suga also gets the last 'Lawless Road'... Completely kicked out of Paris
8,3,A man riding an electric scooter in Paris France 2019. AP=Yonhap News,BTS' Suga also gets the last 'Lawless Road'... Completely kicked out of Paris
9,1,Giant panda Sing Sing kept in Ueno Park Japan. Supporters' Press = Yonhap News,Japanese version of Fu Bao also goes to China… “Wait 2 hours for one photo” Japan is shocked
9,2,Xiang Xiang born through natural breeding at Ueno Zoo has been returned to China. Xinhua News Agency = Yonhap News,Japanese version of Fu Bao also goes to China… “Wait 2 hours for one photo” Japan is shocked
10,1,"(Beijing AFP=News 1) Reporter Woo Dong-myeong = Chinese President Xi Jinping said in a keynote speech at the opening ceremony of the 10th Ministerial Meeting of the China-Arab States Cooperation Forum held at the Diaoyutai State Guesthouse in Beijing on the 30th (local time) ""War in the Middle East cannot continue indefinitely.","Changed China Middle East Strategy… ""US Must Actively Engage in Middle East Issues and Respond"""
