article_number,image number,alt,article_heading
1,1,ISL 2024-25: Odisha FC vs Kerala Blasters FC,Odisha FC vs Kerala Blasters FC ISL 2024-25: Match Preview Live Streaming Fantasy Picks Predicted XI and Full Squads
2,1,Mohun Bagan Super Giant players in action,Mohun Bagan SG Decide Against Travelling to Iran for AFC Champions League 2 Fixture Due to 'Safety and Security' Concerns
3,1,Farukh Choudhary and Daniel Chima Chukwu of Chennaiyin FC.,Hyderabad FC vs Chennaiyin FC ISL 2024-25: Match Preview Live Streaming Fantasy Picks Predicted XI and Full Squads
4,1,Carles Cuadrat. (Pic Credit: ISL),Carles Cuadrat Steps Down as Head Coach of East Bengal FC
5,1,ISL: Bengaluru FC's Sunil Chhetri (FSDL),Sunil Chhetri Etches History; Becomes All-Time Leading Goalscorer in ISL History
6,1,ISL 2024-25: Diego Mauricio helped Odisha FC beat Jamshedpur FC 2-1 (FSDL),ISL 2024-25: Odisha FC Bag First Win of Season Beat Jamshedpur FC 2-1
7,1,ISL 2024-25: NorthEast United FC vs Kerala Blasters FC,NorthEast United FC vs Kerala Blasters FC ISL 2024-25: Match Preview Live Streaming Fantasy Picks Predicted XI and Full Squads
8,1,ISL 2024-25: FC Goa's Borja Herrera scored a hat-trick against East Bengal FC (FSDL),ISL 2024-25: Borja Herrera Nets Hat-trick as 10-man FC Goa Pip East Bengal FC 3-2
9,1,ISL 2024-25: Bengaluru FC vs Mohun Bagan Super Giant,Bengaluru FC vs Mohun Bagan SG ISL 2024-25: Match Preview Live Streaming Fantasy Picks Predicted XI and Full Squads
10,1,ISL 2024-25: Odisha FC vs Jamshedpur FC,Odisha FC vs Jamshedpur FC ISL 2024-25: Match Preview Live Streaming Fantasy Picks Predicted XI and Full Squads
