website,category,article_number,image number,alt,article_heading,article_url
https://news.yahoo.com/,Politics,1,1,,Biden on his climate legacy: ‘We did it’,https://www.yahoo.com/news/biden-climate-legacy-did-221914698.html
https://news.yahoo.com/,Politics,2,1,"Ukraine President Volodymyr Zelenskyy arrives for the 79th session of the United Nations General Assembly Tuesday, Sept. 24, 2024, at UN headquarters. (AP Photo/Stefan Jeremiah)",Trump praises Russia's military record in argument to stop funding Ukraine's fight,https://www.yahoo.com/news/trump-praises-russias-military-record-221358207.html
https://news.yahoo.com/,Politics,2,2,"Republican presidential nominee former President Donald Trump speaks about the tax code and manufacturing at the Johnny Mercer Theatre Civic Center, Tuesday, Sept. 24, 2024, in Savannah, Ga. (AP Photo/Evan Vucci)",Trump praises Russia's military record in argument to stop funding Ukraine's fight,https://www.yahoo.com/news/trump-praises-russias-military-record-221358207.html
https://news.yahoo.com/,Politics,3,1,,"In effort to refute porn-site message report, Mark Robinson campaign hires a law firm",https://www.yahoo.com/news/effort-refute-porn-message-report-213501627.html
https://news.yahoo.com/,Politics,4,1,,"Biden is making his long-awaited visit to Africa in October. He'll stop in Germany, then Angola",https://www.yahoo.com/news/biden-making-long-awaited-visit-205637318.html
https://news.yahoo.com/,Politics,5,1,,FAA chief defends latest delay for SpaceX rocket launch,https://www.yahoo.com/news/faa-chief-defends-latest-delay-204139948.html
https://news.yahoo.com/,Politics,6,1,,Senate chairman demands answers from emergency rooms that denied care to pregnant patients,https://www.yahoo.com/news/senate-chairman-demands-answers-emergency-203619991.html
https://news.yahoo.com/,Politics,7,1,"<span>Donald Trump speaks on Tuesday in Savannah, Georgia.</span><span>Photograph: Brandon Bell/Getty Images</span>",Trump scapegoats migrants again at Georgia event meant to discuss economy,https://www.yahoo.com/news/trump-scapegoats-migrants-again-georgia-201622070.html
https://news.yahoo.com/,Politics,8,1,"Speaker of the House Mike Johnson, R-La., pauses for a final question as he leaves a news conference at the Capitol in Washington, Tuesday, Sept. 24, 2024. Congressional leaders have a deal on a short-term spending bill that will fund federal agencies for about three months. The agreement announced Sunday averts a possible partial government shutdown when the new budget year begins Oct. 1 and pushes final decisions until after the November election. (AP Photo/J. Scott Applewhite)",A year ago Kevin McCarthy was booted as House speaker. Mike Johnson is trying to avoid that fate,https://www.yahoo.com/news/ago-kevin-mccarthy-booted-house-201535575.html
https://news.yahoo.com/,Politics,8,2,"Speaker of the House Mike Johnson, R-La., meets with reporters after a closed-door caucus with fellow Republicans, at the Capitol in Washington, Tuesday, Sept. 24, 2024. Congressional leaders have a deal on a short-term spending bill that will fund federal agencies for about three months. The agreement announced Sunday averts a possible partial government shutdown when the new budget year begins Oct. 1 and pushes final decisions until after the November election. (AP Photo/J. Scott Applewhite)",A year ago Kevin McCarthy was booted as House speaker. Mike Johnson is trying to avoid that fate,https://www.yahoo.com/news/ago-kevin-mccarthy-booted-house-201535575.html
https://news.yahoo.com/,Politics,9,1,,"Wisconsin capital city sends up to 2,000 duplicate absentee ballots, leading to GOP concerns",https://www.yahoo.com/news/wisconsin-capital-city-sends-2-201206419.html
https://news.yahoo.com/,Politics,10,1,"Republican presidential nominee former President Donald Trump speaks about the tax code and manufacturing at the Johnny Mercer Theatre Civic Center, Tuesday, Sept. 24, 2024, in Savannah, Ga. (AP Photo/Evan Vucci)",GOP governor halts push to prevent Trump from losing one of Nebraska's electoral votes,https://www.yahoo.com/news/gop-governor-halts-push-prevent-194235682.html
https://news.yahoo.com/,Politics,10,2,"FILE - Nebraska State Sen. Mike McDonnell of Omaha is shown in the Legislative Chamber in Lincoln, Neb., March 1, 2019. (AP Photo/Nati Harnik, File)",GOP governor halts push to prevent Trump from losing one of Nebraska's electoral votes,https://www.yahoo.com/news/gop-governor-halts-push-prevent-194235682.html
https://news.yahoo.com/,Politics,10,3,"FILE - Nebraska Governor-elect Jim Pillen answers a question in a panel discussion at a Republican Governors Association conference in Orlando, Fla., Nov. 16, 2022. (AP Photo/Phelan M. Ebenhack, File)",GOP governor halts push to prevent Trump from losing one of Nebraska's electoral votes,https://www.yahoo.com/news/gop-governor-halts-push-prevent-194235682.html
