article_number,image number,alt,article_heading,article_url
1,1,Evandro Leitão (PT) and André Fernandes (PL) candidates in Fortaleza,Polls: Leitão (PT) and Fernandes (PL) compete in second round in Fortaleza,https://noticias.uol.com.br/eleicoes/2024/10/05/pesquisas-fortaleza.htm
2,1,Two men on a motorcycle approached the vehicle and shot at it according to the candidate's campaign.,Mayoral candidate suffers shooting attack in MG: 'Deliverance',https://noticias.uol.com.br/eleicoes/2024/10/05/candidato-a-prefeito-sofre-atentado-a-tiros-em-mg-livramento.htm
3,1,Goiania City Council,See the list of candidates for councilor of Goiânia (GO) in 2024,https://noticias.uol.com.br/eleicoes/2024/10/05/vereador-goiania-go-candidatos-2024.htm
4,1,Recife City Council,See the list of candidates for councilor in Recife (PE) in 2024,https://noticias.uol.com.br/eleicoes/2024/10/05/vereador-recife-pe-candidatos-2024.htm
5,1,Lula and Bolsonaro chose names to support in the 2024 Elections,2024 Elections: Who are Lula and Bolsonaro's candidates in the capitals?,https://noticias.uol.com.br/eleicoes/2024/10/05/candidatos-de-lula-e-bolsonaro-nas-capitais-eleicoes-2024.htm
6,1,False report about Boulos in verified profile of Pablo Marçal on X,Majority on WhatsApp points out fraud in document presented by Marçal,https://noticias.uol.com.br/eleicoes/2024/10/05/maioria-no-whastapp-aponta-fraude-em-documento-apresentado-por-marcal.htm
7,1,Marçal published a false report associating Boulos with drug use,Moraes summons Marçal to testify within 24 hours,https://noticias.uol.com.br/eleicoes/2024/10/05/stf-intima-marcal-depoimento.htm
8,1,Curitiba Botanical Garden,See the list of candidates for councilor of Curitiba (PR) in 2024,https://noticias.uol.com.br/eleicoes/2024/10/05/vereador-curitiba-pr-candidatos-2024.htm
9,1,Doctor Luiz Teixeira da Silva Jr in a photo with Pablo Marçal (PRTB) and Marcos Paulo campaign strategist for the candidate for mayor of São Paulo,SP Civil Police will investigate whether the report's signature is actually that of a doctor,https://noticias.uol.com.br/eleicoes/2024/10/05/policia-civil-de-sp-vai-apurar-se-assinatura-de-laudo-e-mesmo-de-medico.htm
10,1,Manaus City Council,See the list of candidates for councilor of Manaus (AM) in 2024,https://noticias.uol.com.br/eleicoes/2024/10/05/vereador-manaus-am-candidatos-2024.htm
