article_number,image number,alt,article_heading,article_url
1,1,Zbigniew Ziobro and Mateusz Morawiecki can't stand each other,"He extended his hand to Tusk"". Ziobro's supporters respond to Dworczyk's attack""",https://wiadomosci.wp.pl/wyciagnal-reke-do-tuska-ziobrysci-odpowiadaja-na-atak-dworczyka-7076647254715264a
2,1,Jacek Tomczak is an advocate of a start-up loan,"Storm at the commission regarding the start-up loan. Deputy Minister Tomczak repels attacks. This is fake news""""",https://wiadomosci.wp.pl/burza-na-komisji-w-sprawie-kredytu-na-start-wiceminister-tomczak-odpiera-ataki-to-fake-newsy-7075620798471008a
3,1,Jan Krzysztof Ardanowski is in trouble,"Ardan lives in a world where evil people conspire against him"". Politicians assess the move of the former PiS minister""",https://wiadomosci.wp.pl/ardan-zyje-w-swiecie-w-ktorym-zli-ludzie-spiskuja-przeciwko-niemu-politycy-oceniaja-ruch-bylego-ministra-z-pis-7075585664097152a
3,2,Jan Krzysztof Ardanowski and Jarosław Kaczyński August 2023,"Ardan lives in a world where evil people conspire against him"". Politicians assess the move of the former PiS minister""",https://wiadomosci.wp.pl/ardan-zyje-w-swiecie-w-ktorym-zli-ludzie-spiskuja-przeciwko-niemu-politycy-oceniaja-ruch-bylego-ministra-z-pis-7075585664097152a
4,1,PiS and Sovereign Poland leaders negotiate merger,"The last two conditions. That's why PiS is postponing the congress. The flood was a pretext""",https://wiadomosci.wp.pl/dwa-ostatnie-warunki-to-dlatego-pis-przesuwa-kongres-powodz-byla-pretekstem-7075284448750432a
5,1,PiS and Kukiz'15 have set up a fictitious KO settlement team,The parliamentary ghost team was supposed to settle 100 specific Tusk cases. It never met,https://wiadomosci.wp.pl/poselski-zespol-widmo-mial-rozliczac-100-konkretow-tuska-nie-zebral-sie-ani-razu-7074889045306080a
6,1,Crisis headquarters in Wrocław with the participation of Donald Tusk,"Behind the scenes of the dispute over Polish Waters. The government has had enough of tensions with local government officials. They were clutching their heads""",https://wiadomosci.wp.pl/rzad-ma-dosc-widza-klotnie-lapia-sie-za-glowy-kulisy-sporu-ws-wod-polskich-7074563524377312a
6,2,Dariusz Klimczak and Joanna Kopczyńska,"Behind the scenes of the dispute over Polish Waters. The government has had enough of tensions with local government officials. They were clutching their heads""",https://wiadomosci.wp.pl/rzad-ma-dosc-widza-klotnie-lapia-sie-za-glowy-kulisy-sporu-ws-wod-polskich-7074563524377312a
7,1,Flood. Marcin Kierwiński and Donald Tusk will create a map of bungling,"""Map of bungling"" after the flood. We know who will be checked and what failed",https://wiadomosci.wp.pl/mapa-partactwa-po-powodzi-wiemy-kto-bedzie-sprawdzany-i-co-zawiodlo-7074199161244192a
8,1,No one from the government will appear at the Developers' Congress,"The government refuses developers. The minister issued a recommendation""",https://wiadomosci.wp.pl/rzad-odmawia-deweloperom-minister-wydal-rekomendacje-7073717612575680a
8,2,Donald Tusk announced 0% credit in May 2023,"The government refuses developers. The minister issued a recommendation""",https://wiadomosci.wp.pl/rzad-odmawia-deweloperom-minister-wydal-rekomendacje-7073717612575680a
9,1,PiS President's Conference: He Doesn't Hide His Credit Problems,Millions to repay. PiS finishes paying off a huge debt,https://wiadomosci.wp.pl/miliony-do-splaty-pis-wciaz-ma-wielki-dlug-7073194975423392a
10,1,President Andrzej Duda meets with Donald Trump in 2020.,Duda to meet with Trump? President's entourage clarifies US media information,https://wiadomosci.wp.pl/duda-spotka-sie-z-trumpem-otoczenie-prezydenta-precyzuje-informacje-mediow-z-usa-7072021850835904a
