image number,alt,article_heading,description
image_1_2.jpg,Scottie Scheffler shakes hands with Rory McIlroy ,Scottie Scheffler and Rory McIlroy take on Bryson DeChambeau and Brooks Koepka in PGA Tour-LIV Golf faceoff,"The image depicts two men in what appears to be a sports setting, possibly a tennis court, given the attire and the presence of a tennis racket in the background. The man on the left is wearing a dark blue jacket over a lighter blue shirt, and he has a beard and mustache. He is looking to his right with a serious expression, and his hands are clasped together in front of him. The man on the right is wearing a white shirt and has short, dark hair. He is looking at the man on the left with a concerned or focused expression. Both men are standing close to each other, and their body language suggests they are engaged in a conversation or a moment of intense focus. The background is blurred, but it seems to be a sunny day with spectators in the stands, indicating that this might be a professional sports event."
image_1_3.jpg,Bryson DeChambeau and Brooks Koepka smile,Scottie Scheffler and Rory McIlroy take on Bryson DeChambeau and Brooks Koepka in PGA Tour-LIV Golf faceoff,"The image shows two men standing side by side, both wearing sunglasses and smiling broadly. They appear to be in a good mood and enjoying themselves. The man on the left is wearing a brown suit with a blue shirt and a red tie, while the man on the right is dressed in a similar style, with a brown suit, blue shirt, and a blue tie with a red stripe. Both men have short haircuts and are wearing dark sunglasses. The background is a solid red color, which provides a stark contrast to their attire and makes them stand out. The image has a candid and friendly feel to it, suggesting a moment of camaraderie or celebration."
image_1_4.jpg,Scottie Scheffler,Scottie Scheffler and Rory McIlroy take on Bryson DeChambeau and Brooks Koepka in PGA Tour-LIV Golf faceoff,"The image depicts a male golfer in the midst of a swing. He is wearing a white cap with a logo, a white polo shirt, and white gloves. The golfer is holding a golf club with both hands, and his body is positioned in a way that suggests he is in the process of hitting the ball. The background is blurred, but it appears to be a golf course with spectators watching the game. The focus is on the golfer, and the image captures the intensity and concentration of the moment."
image_2_2.jpg,Scottie Scheffler,Scottie Scheffler wins TOUR Championship capping off record-breaking 2024 season,"The image depicts a male golfer in the midst of a swing. He is wearing a white cap with a logo, a white polo shirt, and white gloves. The golfer is holding a golf club with both hands, and his body is positioned in a way that suggests he is in the process of hitting the ball. The background is blurred, but it appears to be a golf course with spectators watching the game. The focus is on the golfer, and the image captures the intensity and concentration of the moment."
image_2_3.jpg,Scottie Scheffler gets the green jacket,Scottie Scheffler wins TOUR Championship capping off record-breaking 2024 season,"The image depicts two men standing side by side, both dressed in green jackets. The man on the left is wearing a peach-colored shirt, while the man on the right is wearing a white shirt. They appear to be in a relaxed, outdoor setting with trees in the background. The man on the left is looking directly at the camera, while the man on the right is looking slightly to his left. Both men have facial hair, with the man on the left having a beard and the man on the right having a goatee. The man on the right is also wearing a watch on his left wrist. The overall atmosphere of the image is casual and friendly."
image_2_4.jpg,Scottie Scheffler tee shot,Scottie Scheffler wins TOUR Championship capping off record-breaking 2024 season,"The image depicts a male golfer in the midst of a swing. He is wearing a white polo shirt with a black logo on the left chest, white shorts, and a white cap with a black logo. The golfer is holding a black golf club with a white grip, and he appears to be focused on the ball. The background is blurred, but it suggests an outdoor setting with a crowd of spectators, some of whom are taking photos. The lighting indicates that the event is taking place during the day."
image_3_2.jpg,Jon Rahm looks on course,Jon Rahm says he does not have buyer's remorse about move to LIV nixes rumors he's upset in league,"The image shows a man standing outdoors, likely on a golf course given the attire and the blurred background that suggests a natural, possibly wooded, setting. The man is wearing a white baseball cap with a logo on the front, a pink polo shirt with a similar logo on the left chest, and a pair of dark pants that are not fully visible. He has a beard and mustache, and his expression is serious or contemplative. The lighting suggests it might be daytime with ample sunlight. The image is a photograph with a focus on the man, and the background is out of focus to emphasize him."
image_3_3.jpg,Jon Rahm reacts to bad shot,Jon Rahm says he does not have buyer's remorse about move to LIV nixes rumors he's upset in league,"The image depicts a man from the back, standing outdoors with his head tilted upwards. He appears to be wearing a white cap with a logo on the front, a black jacket with a pink logo on the left side, and a white shirt with the word ""Golf"" visible on the sleeve. The man has a beard and is looking towards the sky, possibly observing something of interest. The background is blurred, but it suggests a natural setting with trees and sunlight filtering through the leaves, indicating it might be late afternoon or early evening. The lighting and shadows suggest a warm, sunny day."
image_3_4.jpg,Jon Rahm swings,Jon Rahm says he does not have buyer's remorse about move to LIV nixes rumors he's upset in league,"The image depicts a male golfer in the midst of a swing. He is wearing a white cap with a logo on the front, a blue shirt, and appears to be in motion, suggesting he is playing a round of golf. The golfer is holding a golf club with both hands, and his posture indicates he is in the process of striking the ball. The background is blurred, but it seems to be a sunny day with palm trees, which suggests the setting might be a golf course in a warm climate. The golfer's focus and the blurred background give a sense of speed and movement to the scene."
image_4_2.jpg,Donald Trump in Bedminster,Donald Trump rips Joe Biden’s golf game in new YouTube video: 'You're not a 60' handicap,"The image depicts an older gentleman seated in a golf cart, which is parked on a well-maintained golf course. The man is wearing a white polo shirt with a logo on the left chest, a red baseball cap with the text ""MADE IN AMERICA"" and ""GREAT TRUMP"" embroidered on the front, and a pair of dark pants. He is holding the steering wheel of the golf cart with his right hand, and his gaze is directed towards the camera, suggesting he is aware of the photographer.  The golf cart is equipped with a basket on the back, which is empty. The golf clubs are visible in the background, leaning against the golf cart, indicating that the man is likely a golfer. The grass of the golf course is a vibrant green, and the overall setting suggests a sunny day, which is typical for outdoor golfing. The image is a color photograph with a focus on the man and the golf cart, capturing a moment of leisure and sport."
image_4_3.jpg,Former President Donald Trump greets fans,Donald Trump rips Joe Biden’s golf game in new YouTube video: 'You're not a 60' handicap,"The image depicts an older adult male with a stern expression, raising his right fist in a gesture that is often associated with defiance or resistance. He is wearing a red baseball cap with the text ""MAKE AMERICA GREAT AGAIN"" embroidered on the front, which is a slogan commonly associated with a political movement. The individual appears to be outdoors, as suggested by the natural light and the presence of what seems to be a crowd in the background, although the focus is on the man and his gesture. The style of the image is a candid photograph, capturing a moment of the individual's expression and gesture."
image_4_4.jpg,Trump National Golf Club,Donald Trump rips Joe Biden’s golf game in new YouTube video: 'You're not a 60' handicap,"The image shows a sign for the Trump National Golf Club in Bedminster, New Jersey. The sign is mounted on a stone wall and features a circular emblem with a lion and a shield, which is a common symbol of the Trump family. The text on the sign is in a serif font, with ""Trump National Golf Club"" in a larger, bold font, and ""Bedminster"" in a smaller font below. The sign is set against a backdrop of trees and a clear sky, suggesting a well-maintained golf course. The style of the image is a standard, color photograph with no filters or artistic effects applied."
image_5_2.jpg,Paige Spiranac at Fanatics Fest,Paige Spiranac attempts to downplay chances of winning Creators Classic,"The image depicts a woman who appears to be in the middle of a public speaking event or interview. She is seated and is wearing a sleeveless top and a leather jacket. Her blonde hair is styled in loose waves, and she is looking directly at the camera with a slight smile. She is holding a microphone in her right hand, which suggests she is addressing an audience or being interviewed. The background is blurred, but it seems to be an indoor setting with a warm, ambient lighting."
image_5_3.jpg,Paige Spiranac in July 2023,Paige Spiranac attempts to downplay chances of winning Creators Classic,"The image depicts a female golfer in the midst of a swing. She is wearing a sleeveless, teal-colored top with a white collar and a white visor. The visor shields her eyes, which are protected by dark sunglasses. Her hair is styled in loose waves, and she appears to be focused on her shot. The background is blurred, but it suggests an outdoor setting with greenery, likely a golf course. The lighting indicates it might be a sunny day."
image_5_4.jpg,Paige Spiranac in July 2023,Paige Spiranac attempts to downplay chances of winning Creators Classic,"The image depicts a woman engaged in a game of tennis. She is wearing a white visor hat and sunglasses, which suggests that it might be a sunny day. Her attire includes a sleeveless top, possibly a tank top, which is a common choice for athletic wear. She is holding a tennis racket in her right hand, indicating that she is either preparing to hit the ball or has just finished a shot. The woman appears to be smiling, which could imply that she is enjoying the game or is in a good mood. The background is blurred, but it seems to be an outdoor setting with greenery, which is typical for a tennis court. The focus of the image is on the woman, and the background is not the main subject of the photo."
image_6_2.jpg,Jon Rahm and Alcaraz,Jon Rahm praises fellow Spaniard Carlos Alcaraz during US Open: 'He's a demigod',"The image is a split-screen of two men playing tennis. On the left side, there is a man wearing a pink shirt with the word ""Blue Yonder"" printed on it. He is holding a tennis ball in his right hand and appears to be in the middle of a swing. On the right side, there is another man wearing a red shirt with a yellow logo on the left sleeve. He is also holding a tennis racket and appears to be in the middle of a swing, with the ball in motion. Both men are focused on the game and seem to be in the midst of a competitive match. The background is blurred, but it appears to be a tennis court with spectators in the stands."
