website,category,article_number,image number,alt,article_heading,article_url
https://edition.cnn.com,world_middleeast_israel,1,1,Israeli security forces gather at the scene of the attack near the Allenby Crossing on Sunday.,Three Israeli border guards shot dead at Allenby Crossing between West Bank and Jordan,https://edition.cnn.com/2024/09/08/middleeast/allenby-crossing-shooting-west-bank-jordan-intl/index.html
https://edition.cnn.com,world_middleeast_israel,1,2,An Israeli policeman and soldier patrol the area near the crossing.,Three Israeli border guards shot dead at Allenby Crossing between West Bank and Jordan,https://edition.cnn.com/2024/09/08/middleeast/allenby-crossing-shooting-west-bank-jordan-intl/index.html
https://edition.cnn.com,world_middleeast_israel,1,3,Israeli security forces are seen near the site of the shooting.,Three Israeli border guards shot dead at Allenby Crossing between West Bank and Jordan,https://edition.cnn.com/2024/09/08/middleeast/allenby-crossing-shooting-west-bank-jordan-intl/index.html
https://edition.cnn.com,world_middleeast_israel,2,1,"Residents stand near camels as they watch smoke billowing during the demolition by Israeli security forces of the unrecognized bedouin community of Wadi al Khalil, in the southern Negev desert, near the town of Hura on May 8.",‘People are suffocating.’ Bedouins in Israel say Gaza war has worsened decades of marginalization,https://edition.cnn.com/2024/09/07/middleeast/israel-bedouins-arabs-unrecognized-villages-neglected-hamas-war-mime-intl/index.html
https://edition.cnn.com,world_middleeast_israel,2,2,"Farhan Al-Qadi, a Bedouin Israeli hostage who was kidnapped on October 7 by Hamas, is greeted by his friends and family after he is rescued, at his village near Rahat in southern Israel, on August 28.",‘People are suffocating.’ Bedouins in Israel say Gaza war has worsened decades of marginalization,https://edition.cnn.com/2024/09/07/middleeast/israel-bedouins-arabs-unrecognized-villages-neglected-hamas-war-mime-intl/index.html
https://edition.cnn.com,world_middleeast_israel,2,3,"<p>Farhan Al-Qadi, 52, an Israeli citizen who had been held hostage since October 7, is ""in a stable medical condition"" after being rescued from a tunnel in southern Gaza in a ""complex operation,"" an Israeli military spokesperson says. CNN's Jeremy Diamond reports.</p>",‘People are suffocating.’ Bedouins in Israel say Gaza war has worsened decades of marginalization,https://edition.cnn.com/2024/09/07/middleeast/israel-bedouins-arabs-unrecognized-villages-neglected-hamas-war-mime-intl/index.html
https://edition.cnn.com,world_middleeast_israel,2,4,"Israeli security forces demolish the unrecognized bedouin community of Wadi al Khalil in the southern Negev desert, on May 8.",‘People are suffocating.’ Bedouins in Israel say Gaza war has worsened decades of marginalization,https://edition.cnn.com/2024/09/07/middleeast/israel-bedouins-arabs-unrecognized-villages-neglected-hamas-war-mime-intl/index.html
https://edition.cnn.com,world_middleeast_israel,2,5,"A man points to a hole in the roof of a building caused by a projectile that injured seven-year-old Bedouin girl Amina in her unrecognized village, in the southern Negev desert, in Israel on April 14.",‘People are suffocating.’ Bedouins in Israel say Gaza war has worsened decades of marginalization,https://edition.cnn.com/2024/09/07/middleeast/israel-bedouins-arabs-unrecognized-villages-neglected-hamas-war-mime-intl/index.html
https://edition.cnn.com,world_middleeast_israel,2,6,"Ali al-Zayadana, the brother of Youssef and the uncle of Hamza, two Beduin men who were taken hostage by Hamas on October 7, prays for them in the Al-Aqsa mosque compound, in Jerusalem on March 22.",‘People are suffocating.’ Bedouins in Israel say Gaza war has worsened decades of marginalization,https://edition.cnn.com/2024/09/07/middleeast/israel-bedouins-arabs-unrecognized-villages-neglected-hamas-war-mime-intl/index.html
https://edition.cnn.com,world_middleeast_israel,3,1,American-Turkish activist Aysenur Eygi pictures in a family photo from her graduation at the University of Washington this past spring.,"Family of American killed in West Bank blames Israel for her death, demands independent investigation",https://edition.cnn.com/2024/09/07/middleeast/american-killed-west-bank-family-intl-hnk/index.html
https://edition.cnn.com,world_middleeast_israel,4,1,"Smoke rises following an Israeli strike on a target between the villages of Ghandourieh and Froun in southern Lebanon late on September 6, 2024.","Three killed in Israeli airstrike were emergency workers, Lebanon says. Israel says it targeted terrorists",https://edition.cnn.com/2024/09/07/middleeast/israel-airstrike-lebanon-intl-latam/index.html
https://edition.cnn.com,world_middleeast_israel,5,1,Netanyahu.jpg,Major roadblocks in Gaza ceasefire talks raise doubts over whether war can be ended before Biden leaves office,https://edition.cnn.com/2024/09/06/politics/gaza-ceasefire-talks-roadblocks-white-house/index.html
https://edition.cnn.com,world_middleeast_israel,6,1,Smoke rises during an Israeli military raid in Jenin in the occupied West Bank on Thursday.,‘All the streets were destroyed:’ Palestinians count the cost as Israel pulls back from Jenin,https://edition.cnn.com/2024/09/06/middleeast/israeli-military-operation-jenin-west-bank-enters-second-week-intl/index.html
