website,category,article_number,image number,alt,article_heading,article_url
https://www.theguardian.com,tech,1,1,a man in a blue suit and red tie claps next to American flags,How did Donald Trump end up posting Taylor Swift deepfakes?,https://www.theguardian.com/technology/article/2024/aug/24/trump-taylor-swift-deepfakes-ai
https://www.theguardian.com,tech,1,2,"Four AI-generated images show women, including Taylor Swift, with ‘Swifties for Trump’ T-shirts",How did Donald Trump end up posting Taylor Swift deepfakes?,https://www.theguardian.com/technology/article/2024/aug/24/trump-taylor-swift-deepfakes-ai
https://www.theguardian.com,tech,1,3,A screenshot of a tweet says ‘Swifties turning to Trump after Isis foiled Taylor Swift concert’ with six images of people wearing Swifties for Trump shirts,How did Donald Trump end up posting Taylor Swift deepfakes?,https://www.theguardian.com/technology/article/2024/aug/24/trump-taylor-swift-deepfakes-ai
https://www.theguardian.com,tech,2,1,The back of the Google Pixel 9 Pro on a table by Regent's Canal.,A real contender for the best small phone,https://www.theguardian.com/technology/article/2024/sep/02/pixel-9-pro-review-small-phone-camera-google-android-ai
https://www.theguardian.com,tech,2,2,The home screen on the Pixel 9 Pro held in a hand.,A real contender for the best small phone,https://www.theguardian.com/technology/article/2024/sep/02/pixel-9-pro-review-small-phone-camera-google-android-ai
https://www.theguardian.com,tech,2,3,"Screenshots of Google’s various AI tools, including Gemini Live, the Screenshots app and Magic Editor.",A real contender for the best small phone,https://www.theguardian.com/technology/article/2024/sep/02/pixel-9-pro-review-small-phone-camera-google-android-ai
https://www.theguardian.com,tech,2,4,The Google camera app on a Pixel 9 Pro,A real contender for the best small phone,https://www.theguardian.com/technology/article/2024/sep/02/pixel-9-pro-review-small-phone-camera-google-android-ai
https://www.theguardian.com,tech,2,5,The back of the Pixel 9 Pro,A real contender for the best small phone,https://www.theguardian.com/technology/article/2024/sep/02/pixel-9-pro-review-small-phone-camera-google-android-ai
https://www.theguardian.com,tech,2,6,The fingerprint scanner on the lock screen of the Google Pixel 9 Pro.,A real contender for the best small phone,https://www.theguardian.com/technology/article/2024/sep/02/pixel-9-pro-review-small-phone-camera-google-android-ai
https://www.theguardian.com,tech,3,1,Google Pixel 9 Pro XL review - phone stood up on a table showing the rear camera,Pixel 9 Pro XL review: Google’s AI-packed superphone to rival the best,https://www.theguardian.com/technology/article/2024/aug/22/pixel-9-pro-xl-review-google-ai-packed-superphone-to-rival-the-best
