article_number,image number,alt,article_heading
1,1,The Gunungan Tumpeng made of yellow stone was discarded during the ritual of cleansing the village of Kediri.,Seni Tradition and Resilience Multicultural
2,1,Portrait of Pilot Susi Air at Disandera KKB (right) and free-floating Satgas Damai Cartenz (right),Mengawal Kondisi Pilot Phillip Pasca Pembebasan
3,1,edy sutriono,Dry landfill
4,1,Long Baliho Nyolong Start Kian Menjamur,Fashion Show Politics and Banality Pilkada
5,1,Illustration focus (bukan buat insert) Picture directly ditinjau ulang (Nadia Permatasari/detikcom),Paslon Single dan Salon Pilkada
6,1,Mantan Menteri Internal Affairs (Mendagri) Gamawan Fauzi Menyambangi Building KPK. I will investigate the case related to corruption in e-KTP.,Senjakala President Jokowi di Mother Orang Minang
7,1,abdullah sidiq,The advantages of this item are as follows:
8,1,Illustrating Data Statistics,Statistics on Berquality for Indonesia Gold
9,1,KKP Hentikan Activity Pengerukan Sand di Perairan Pulau Tunda,Mengkaji relang policy export sand laut
10,1,Maximizing Agricultural Land Kering,Maximizing Agricultural Land Kering
