article_number,image number,alt,article_heading
1,1,Close up shot of yellow police tape against police lights,BCSO arrests posts photo of teen accused of posting 'I'm shootin this school up'
2,1,no alt text,Woman was found shot multiple times on I-195 in Miami Beach. Cops have made an arrest
3,1,The Dane County Regional Airport's recent expansion its largest ever includes three new gates.,Madison airport has one of USA TODAY's 10Best shopping experiences
4,1,no alt text,Republican Ashlee Adams candidate for NC Senate District 18 answers our questions
5,1,no alt text,Arizona's 10 most famous caves and caverns: Here's how to explore them
6,1,no alt text,Who is Shelli Boggs Maricopa County school superintendent candidate?
7,1,<span>‘This is about setting the stage to claim an election was stolen.’</span><span>Composite: Rita Liu/The Guardian/Getty Images</span>,‘I was stunned’: the eligible voters targeted by non-citizen voting myth
8,1,The newly opened Foothills Trail bridge connects King and Pierce County over the White River on Tuesday Oct. 1 2024 in Enumclaw Wash.,New $16 million bridge extends popular Pierce County trail to 22 miles into King County
8,2,The newly opened Foothills Trail bridge connects King and Pierce County over the White River on Tuesday Oct. 1 2024 in Enumclaw Wash.,New $16 million bridge extends popular Pierce County trail to 22 miles into King County
8,3,The newly opened Foothills Trail bridge connects King and Pierce County over the White River on Tuesday Oct. 1 2024 in Enumclaw Wash.,New $16 million bridge extends popular Pierce County trail to 22 miles into King County
9,1,John Drake is running for San Luis Obispo City Council.,From housing to downtown here’s how candidates for SLO City Council and mayor compare
9,2,Felicia Lewis is running for San Luis Obispo City Council.,From housing to downtown here’s how candidates for SLO City Council and mayor compare
9,3,San Luis Obispo Mayor Erica Stewart speaks at the opening of Broad Street Place a People’s Self-Help Housing affordable housing development Jan. 20 2024.,From housing to downtown here’s how candidates for SLO City Council and mayor compare
9,4,Jan Howell Marx is running for San Luis Obispo City Council.,From housing to downtown here’s how candidates for SLO City Council and mayor compare
9,5,Mike Boswell is running for San Luis Obispo City Council.,From housing to downtown here’s how candidates for SLO City Council and mayor compare
10,1,Clint Weirick is running unopposed for the District 2 City Council seat in Grover Beach.,Where do Grover Beach candidates for mayor City Council stand on housing infrastructure?
10,2,Nan’s in Grover Beach is expanding its offerings to include crystals under the ownership Kassi Dee granddaughter of founder Nan Fowler. She’s seen here with Scout Finch one of the store cats.,Where do Grover Beach candidates for mayor City Council stand on housing infrastructure?
10,3,Marsha Bolyanatz is running for City Council in Grover Beach.,Where do Grover Beach candidates for mayor City Council stand on housing infrastructure?
10,4,Grover Beach mayoral candidate Robert Robert speaks at a forum hosted by the League of Women Voters Tuesday Sept. 17 2024.,Where do Grover Beach candidates for mayor City Council stand on housing infrastructure?
10,5,Council woman Debbie Peterson is running for Grover Beach mayor.,Where do Grover Beach candidates for mayor City Council stand on housing infrastructure?
