website,category,article_number,image number,alt,article_heading,article_url
https://www.ndtv.com/,Education,1,1,"Ministry Of Culture Invites Applications For Various Positions, Check Details","Ministry Of Culture Invites Applications For Various Positions, Check Details",https://www.ndtv.com/education/ministry-of-culture-invites-applications-for-various-positions-check-details-6626189
https://www.ndtv.com/,Education,2,1,"University Of Auckland Offers Scholarships Worth $10,000 To International Students","University Of Auckland Offers Scholarships Worth $10,000 To International Students",https://www.ndtv.com/education/study-in-new-zealand-university-of-auckland-offers-10-000-scholarships-to-international-students-6623780
https://www.ndtv.com/,Education,3,1,"MP NEET UG Counselling 2024: Choice-Filling Window Closes Today, Check Details","MP NEET UG Counselling 2024: Choice-Filling Window Closes Today, Check Details",https://www.ndtv.com/education/mp-neet-ug-counselling-2024-choice-filling-window-closes-today-at-official-website-dme-mponline-gov-in-6622439
https://www.ndtv.com/,Education,4,1,"Andhra Pradesh TET Admit Card 2024 Released, Check Direct Link Here","Andhra Pradesh TET Admit Card 2024 Released, Check Direct Link Here",https://www.ndtv.com/education/andhra-pradesh-tet-admit-card-2024-released-at-official-website-aptet-apcfss-in-direct-link-6621808
https://www.ndtv.com/,Education,5,1,"India Announces 50 Quad Scholarships Worth Rs 4 Crore, Check Details","India Announces 50 Quad Scholarships Worth Rs 4 Crore, Check Details",https://www.ndtv.com/education/india-announces-50-quad-scholarships-worth-rs-4-crore-check-details-6623555
https://www.ndtv.com/,Education,6,1,Planning To Study Robotics Engineering? Explore Japan's Fully Funded Scholarship,Planning To Study Robotics Engineering? Explore Japan's Fully Funded Scholarship,https://www.ndtv.com/education/study-in-japan-osaka-university-announces-registration-schedule-for-masters-and-phd-programmes-check-scholarship-other-details-6624505
https://www.ndtv.com/,Education,7,1,New Semiconductor Plant Talks At Quad Summit: What It Means For Employment,New Semiconductor Plant Talks At Quad Summit: What It Means For Employment,https://www.ndtv.com/education/pm-modi-joe-biden-discuss-new-semiconductor-plant-what-it-means-for-future-job-seekers-6624153
https://www.ndtv.com/,Education,8,1,"Indian Coast Guard Jobs: Application Begins For Various Posts, Check Salaries","Indian Coast Guard Jobs: Application Begins For Various Posts, Check Salaries",https://www.ndtv.com/education/indian-coast-guard-jobs-application-begins-for-various-posts-check-salaries-6622808
https://www.ndtv.com/,Education,9,1,"XAT 2025 Mock Test Begins On September 25, Check Key Details","XAT 2025 Mock Test Begins On September 25, Check Key Details",https://www.ndtv.com/education/xat-2025-mock-test-begins-on-september-25-check-key-details-6625486
https://www.ndtv.com/,Education,10,1,UK University Invites Applications For MBA In Fashion Business And Entrepreneurship,UK University Invites Applications For MBA In Fashion Business And Entrepreneurship,https://www.ndtv.com/education/study-abroad-uk-university-invites-applications-for-mba-in-fashion-business-and-entrepreneurship-6625989
