image number,alt,article_heading,description
image_1_1.jpg,"(Left): A ""concerned mother"" directs a seething rant at Taylor Swift after her Harris endorsement. (Right): A presumably former Swiftie torches her 'Speak Now (Taylor's Version) vinyl and replaces her TS merch with MAGA kit. (X/Twitter; TikTok)",Swiftie's mom getting rid of Taylor Swift tickets post Harris endorsement; some Gen Z fans also still pro-Trump,"The image is a split-screen of two photos featuring a woman. On the left side, the woman appears to be indoors, possibly in a home setting. She is wearing a black top and has a necklace around her neck. Her hair is styled in a bob cut, and she is looking directly at the camera with a slight smile. There is a sticker on the image with the text ""Message for Taylor"" and a small icon of a speech bubble with a text inside it.  On the right side, the woman is standing outdoors, in front of a house with a driveway. She is wearing a white t-shirt with a graphic on the front and blue jeans. Her hair is styled in a ponytail, and she is looking to the side, away from the camera. The house in the background has a classic design with a chimney and a front door.  The style of the image is a simple, side-by-side comparison of two moments in a person's life, likely intended to showcase their appearance or outfit in different contexts. The image does not contain any overtly detailed or complex elements, and the focus is on the woman and her attire."
image_2_1.jpg,On September 14 BTS' Jungkook shared two posts seemingly voicing support for NewJeans via the Instagram account dedicated to his dog Bam.,BTS' Jungkook comes out in support of NewJeans; agency responds after fans say his account was hacked,"The image is a split-screen featuring two different scenes. On the left side, there is a person with dark hair, wearing a black top with white stripes on the sleeves. The person is smiling and has their arm around a large brown dog, which appears to be a Doberman Pinscher. The dog is panting and looking directly at the camera.  On the right side, there is a group of five individuals with dark hair, wearing school uniforms that include plaid skirts and blouses. They are posing for the camera with serious expressions. The individuals are standing close together, and their attire suggests they might be part of a school or a group with a uniform dress code. The background is a plain purple color, which provides a contrast to the subjects."
image_3_1.jpg,Kalenna Harper has denied witnessing Sean 'Diddy' Combs' alleged abusive behaviour following Dawn Richards' lawsuit.(Photo by ANGELA WEISS / AFP therealkalenna/Instagram),Singer denies witnessing Diddy abuse Cassie Ventura contrary to Dawn Richards' lawsuit,"The image is a split-screen of two individuals, each captured in a different setting. On the left side, there is a man dressed in a white turtleneck and a silver cross necklace. He has a serious expression on his face and is wearing large hoop earrings. The background is blurred, but it appears to be an outdoor setting with natural light.  On the right side, there is a woman with voluminous curly hair. She is wearing a blue bra top and has a light blue glow around her face, which gives her a radiant appearance. Her hair is styled in loose curls, and she is looking directly at the camera with a contemplative expression. The background is dark, which contrasts with the bright light on her face, creating a dramatic effect.  The style of the image is a composite, likely intended for a comparison or contrast between the two individuals. The lighting and composition suggest that the image may be used for artistic or editorial purposes."
image_4_1.jpg,Dave Grohl right and Jordyn Blum arrive at the 65th Annual Directors Guild of America Awards at the Ray Dolby Ballroom in Los Angeles. Photo by Chris Pizzello/AP,Dave Grohl’s secret romance with ‘alt porn goddess’ questioned amid cheating scandal and welcoming baby,"The image depicts two individuals standing side by side against a blue background. The person on the left appears to be a woman with fair skin and blonde hair. She is wearing a sleeveless, dark green dress with a lace overlay and a plunging neckline. The person on the right appears to be a man with dark hair and a beard. He is wearing a black suit jacket over a white shirt, paired with a black tie and a white pocket square. Both individuals are smiling and looking directly at the camera. The background features the logos of the ""Directors Guild of America Awards,"" indicating that the photo may have been taken at an event related to the film industry. The style of the image is a standard, candid photograph commonly used for event coverage or promotional purposes."
image_5_1.jpg,Diljit Dosanjh's Dil-Luminati India Tour will begin on October 26.,Diljit Dosanjh ‘likes’ video trolling those salty about expensive concert tickets: ‘Aapko nahi mila na’,"The image is a split-screen of two individuals. On the left side, there is a man wearing a white turban and a white shirt. He has a beard and is smiling. On the right side, there is a woman with long dark hair and glasses. She is wearing a white shirt and appears to be speaking or gesturing. The background is a plain white wall."
image_6_1.jpg,Yolanda Adams is still in the blessing business with 'Sunny Days',Yolanda Adams is still in the blessing business with 'Sunny Days',"The image presents a vibrant and playful illustration that seems to capture a moment of relaxation and entertainment. At the center of the image is a television set, rendered in a soft, pastel color palette that gives it a friendly and inviting appearance. The TV is turned off, suggesting a moment of pause in the action.  Surrounding the television are various objects that evoke a sense of leisure and comfort. To the left of the TV, there's a classic popcorn container, filled with popcorn that appears to be freshly popped. The popcorn is depicted in a fluffy, golden hue, indicating it's ready to be enjoyed.  On the right side of the TV, there's a cup that resembles a classic soda can. The cup is filled with a frothy beverage, possibly a soda or a milkshake, and it's topped with a straw, ready to be sipped.  In the foreground, there's a remote control, a universal symbol of relaxation and entertainment. The remote is depicted in a simple, clean design, with a single button visible, suggesting it's a modern, user-friendly device.  The background of the image is a light beige color, providing a neutral backdrop that allows the colorful objects to stand out. Scattered throughout the background are small, whimsical stars and clouds, adding a touch of whimsy to the scene.  Overall, the image conveys a sense of tranquility and enjoyment, as if inviting the viewer to sit back and enjoy some downtime with their favorite snacks and a"
image_7_1.jpg,Justin Timberlake speaks to the press after a court hearing Friday Sept. 13 2024 in Sag Harbor N.Y. (AP Photo/Pamela Smith)(AP),Justin Timberlake forcefully apologizes for ‘disappointing’ behaviour in DWI case,"The image shows a man with a beard and mustache, looking directly at the camera. He appears to be middle-aged and has short, dark hair. The man is wearing a dark-colored shirt with a pearl necklace. In the background, there is a blurred figure of a person wearing a beige suit, suggesting that the setting might be a formal event or a professional environment. The man's expression is serious, and he seems to be engaged in a conversation or an interview."
image_8_1.jpg,Justin Timberlake speaks to the press after a court hearing Friday Sept. 13 2024 in Sag Harbor N.Y.(AP),Justin Timberlake confesses to consuming alcohol before DWI arrest despite lawyer claiming otherwise in July,"The image shows a man standing outdoors, appearing to be in a public setting. He is wearing a dark-colored long-sleeved shirt and has a beard. The man is looking to his left with a slight smile on his face. He is holding his hand up to his chest, with his fingers spread out, as if he is about to make a gesture or is in the middle of one. The background is blurred, but it seems to be a street with buildings, suggesting an urban environment. There are no visible texts or distinctive brands in the image. The style of the image is a candid photograph, capturing a moment in the man's life."
image_9_1.jpg,Sean 'Diddy' Combs is the subject of numerous lawsuits related to sexual assault and other crimes. (Matt Sayles/Invision/AP),Diddy files motion to dissolve $100 million default judgment in convict's ‘frivolous’ sex assault case,"The image shows a man standing at a podium, appearing to be at a formal event or ceremony. He is wearing a dark blue suit with a white shirt and a black bow tie. The man has short hair and is looking slightly to his right with a focused expression. The background is a gradient of pink and purple, suggesting that the event might be taking place in the evening or in a dimly lit room. The man's attire and the setting indicate that he could be a speaker or an award recipient at a special occasion."
image_10_1.jpg,Moon Taeil debuted as a member of NCT in 2016 and was active in the K-pop group's sub-units NCT 127 and NCT U. (SM Entertainment),Former NCT member Taeil's sex crime case forwarded to prosecution without detainment,"The image shows a young man with a neutral expression. He has short, dark hair and is wearing a white t-shirt. The background is plain and light-colored, providing a clear contrast to the subject. The man appears to be indoors, and there are no visible texts or distinctive features in the image. The style of the image is a straightforward portrait with a focus on the individual."
