image number,alt,article_heading,description
image_1_1.jpg,The costs of caring for homeless animals are growing year by year /Agencja SE/East News /East News,Dogs and cats will be registered. How much will the state pay? Chips at the expense of owners,"The image shows a small, brown and black dog with a fluffy coat and a bushy tail. The dog appears to be wearing a red harness and has a leash attached to it. The dog's tongue is sticking out, and it seems to be looking directly at the camera with a somewhat curious or attentive expression. The background is a patterned brick sidewalk, which suggests an urban or suburban setting. The dog's posture and the leash indicate that it is likely being walked by its owner. The image is a photograph with natural lighting, and there are no visible texts or distinctive brands in the image."
image_2_1.jpg,Changes in prices of the sanatorium from October 1 to April 30 /Marek BAZAK/East News /East News,Sanatorium cheaper by over PLN 170. Lower prices for stays on the National Health Fund from October,"The image depicts an outdoor scene with two individuals walking on a paved path. The person on the left appears to be an older adult, wearing a white cap, a white polo shirt, and white pants. The person on the right is an older adult as well, wearing a blue floral dress with red and pink flowers, a green hat, and holding a cane in their right hand. Both individuals are looking to their left, possibly observing something or someone off-camera. The background shows a park setting with greenery, trees, and benches. The lighting suggests it might be a sunny day. There are no visible texts or distinctive brands in the image. The style of the image is a candid, real-life photograph with a focus on the subjects and their attire."
image_3_1.jpg,Garbage collection fees to rise again. /123RF/PICSEL,Garbage collection fees are eating into our budgets. They are getting higher every year,"The image shows three recycling bins lined up side by side on a paved surface, likely a street or sidewalk. The bins are of different colors: the one on the left is red, the middle one is orange, and the one on the right is green. Each bin has a lid and is equipped with wheels at the bottom, suggesting they are designed to be easily moved. The background features a building with a brick facade and a tree, indicating an urban or suburban setting. The bins appear to be empty and are positioned in a way that suggests they are ready for use. There are no visible texts or distinctive markings that provide additional context or information about the bins or their location. The style of the image is a straightforward, non-stylized photograph with natural lighting."
image_4_1.jpg,"Different ""grandmother's"" benefits are available for children in nurseries and kindergartens different benefits for working and non-working parents /Bartłomiej Magierowski/East News /East News",Active Parent. Which benefit is more profitable? The ZUS spokesman indicates whether it is possible to choose a more advantageous one,"The image depicts a scene outside a modern building with large glass windows. The building has a contemporary design with a mix of red and white colors. In the foreground, there is a black baby stroller with a seat and a canopy, which is turned towards the camera. The stroller has a handle and a basket at the front, and it appears to be empty.  In the background, there are several people walking on a sidewalk. They are dressed in casual attire, and some are carrying handbags and backpacks. The people are engaged in various activities, such as walking, standing, and talking. The sky is overcast, suggesting an overcast day.  The setting appears to be a public space, possibly a campus or a park, given the presence of the building and the casual attire of the people. There are no visible texts or distinctive brands in the image. The style of the image is a candid photograph, capturing a moment in everyday life."
image_5_1.jpg,Flood victims will pay less for electricity in Tauron. In the photo: flood 2024 - Kłodzko /NewsLubuski /East News,They will pay lower electricity bills. There is a decision regarding flood victims,"The image depicts a scene of a natural disaster, specifically a flood. In the foreground, a blue car is partially submerged in water, with the front end visible above the waterline. The car appears to be parked on a street that has become a river due to the flood. The water is murky and brown, indicating it's likely a mix of rainwater and debris.  In the background, there are buildings that seem to be residential, with a mix of colors including pink, beige, and brown. The architecture suggests a European style, possibly in a town or city. The buildings are partially obscured by fallen tree branches and debris, which are strewn about the street and the water.  The sky is overcast, suggesting that the flood may have been caused by heavy rainfall. The overall scene is one of destruction and chaos, with the floodwaters having a significant impact on the infrastructure and daily life of the area."
image_6_1.jpg,Rent for a flat. Is it worth it? /ratmaner /123RF/PICSEL,They sold their apartments to get a higher rent. Is it worth it? That's how much they get,"The image shows a person holding up a stack of banknotes. The person appears to be an older adult, wearing a dark blue and white striped sweater. The banknotes are of various denominations, with the largest visible denomination being 100. The banknotes have a mix of colors, including blue, green, and red, and feature intricate designs and security features. The person's hands are visible, and they are holding the banknotes up against a plain background, which provides a clear view of the currency. The image is a photograph with a focus on the banknotes, and the lighting is even, highlighting the details of the banknotes and the person's hands."
image_7_1.jpg,ZUS has already announced payments of PLN 1431. Submit an application decision within 14 days. /vivoo /123RF/PICSEL,ZUS has already announced payments of PLN 1431. Submit an application decision within 14 days,"The image shows a stack of banknotes with a watermark that reads ""ZUS"" in green text. The banknotes appear to be Polish currency, as indicated by the denomination numbers and the intricate patterns on the notes. The watermark suggests that the banknotes are from the Polish Social Insurance Fund, which is abbreviated as ZUS in Polish. The background is a plain white surface, which contrasts with the colors of the banknotes and the green text. The image is a close-up, focusing on the banknotes and the watermark, with the rest of the banknotes slightly out of focus."
image_8_1.jpg,Excise tax on vaporization devices and liquid in disposable electronic cigarettes is to increase budget revenues by PLN 3.8 billion over 10 years /Arkadiusz Ziółek /East News,Bad news for smokers there will be a new fee. The state will earn billions,"The image depicts a large, multi-story building with a classical architectural style. The facade of the building is made of light-colored stone or brick, and it features a series of windows with balconies on the upper levels. The windows are adorned with white curtains, and the balconies have ornate railings. The building has a prominent entrance with large, dark wooden doors flanked by columns. Above the entrance, there is a sign that reads ""MINISZTERSTWO FINANSOW,"" which is Polish for ""Ministry of Finance."" The building is situated on a street with a sidewalk in front of it, and there are a few cars parked on the side of the street. There are also some small bushes and plants placed around the entrance, adding a touch of greenery to the urban setting. The overall impression is of a formal and official building, likely a government institution."
image_9_1.jpg,The provisions of the Omnibus Directive require only the presentation of the lowest price from the last 30 days /123RF/PICSEL,No more fictitious price cuts. CJEU ruling,"The image depicts a shopping cart with a metallic frame and black wire mesh sides, positioned in the foreground. The cart is equipped with a handle on the top and a small wheel at the front, suggesting it is designed for use in a supermarket or grocery store. The cart is empty and appears to be ready for use.  In the background, there is a colorful display of various packaged food items, which are likely arranged on shelves. The products are not clearly identifiable due to the distance and angle of the shot. The lighting in the store is bright, with a focus on the products, and there are some blurred lights in the ceiling that give the impression of a festive or celebratory atmosphere.  The style of the image is a photograph with a shallow depth of field, which blurs the background slightly, drawing attention to the shopping cart in the foreground. The overall impression is that of a typical retail environment, possibly during a holiday season given the festive lighting."
image_10_1.jpg,Delivery from Allegro to Paczkomat will be more expensive /ARKADIUSZ ZIOLEK/East News /East News,Are you buying through Allegro to a parcel locker? InPost is preparing for price increases,"The image shows a section of a building facade with two distinct panels. The left panel is white with a graphic of a yellow sun and a black crescent moon, accompanied by the text ""InPost"" in black letters. Below the graphic, the phrase ""OUT OF THE BOX"" is written in black capital letters. The right panel is green with a pattern that resembles a stylized box, and the text ""ONE BOX"" is visible in white letters. The style of the image is a straightforward, real-life photograph with a focus on the branding and text elements of the building facade."
