website,category,article_number,image number,alt,article_heading,article_url
https://www.apnnews.com/,Health,1,1,"Jennie Joseph, back left, lead midwife and clinic director performs a check up on Husna Mixon with the help of her children Asar Lorient, left, 7 and Alonzo Scott Jr., 1, Wednesday, June 26, 2024, at the Commonsense Childbirth Center in Orlando, Fla. (AP Photo/John Raoux)",Europe offers clues for solving America’s maternal mortality crisis,https://apnews.com/article/maternal-mortality-rate-us-global-deaths-norway-211218f769e9a5a6e856a485fb31aef3
https://www.apnnews.com/,Health,1,2,"Jennie Joseph, back left, lead midwife and clinic director at the Commonsense Childbirth clinic talks with client Regine Baramore as husband Scott holds six-week-old daughter, Yahareice, Wednesday, June 26, 2024, in Orlando, Fla. (AP Photo/John Raoux)",Europe offers clues for solving America’s maternal mortality crisis,https://apnews.com/article/maternal-mortality-rate-us-global-deaths-norway-211218f769e9a5a6e856a485fb31aef3
https://www.apnnews.com/,Health,1,3,"Midwife Selena Brown picks up toys at the end of the day in the waiting room play area at the Commonsense Childbirth clinic Wednesday, June 26, 2024, in Orlando, Fla. (AP Photo/John Raoux)",Europe offers clues for solving America’s maternal mortality crisis,https://apnews.com/article/maternal-mortality-rate-us-global-deaths-norway-211218f769e9a5a6e856a485fb31aef3
https://www.apnnews.com/,Health,1,4,"Marie Jean Denis, left, hugs Jennie Joseph, right, lead midwife and clinic director as she leaves after her appointment at the Commonsense Childbirth clinic Wednesday, June 26, 2024, in Orlando, Fla. (AP Photo/John Raoux)",Europe offers clues for solving America’s maternal mortality crisis,https://apnews.com/article/maternal-mortality-rate-us-global-deaths-norway-211218f769e9a5a6e856a485fb31aef3
https://www.apnnews.com/,Health,1,5,"Jennie Joseph, lead midwife and clinic director at the Commonsense Childbirth clinic talks with clients and staff Wednesday, June 26, 2024, in Orlando, Fla. The midwives who run the program welcome vulnerable patients that other practices turn away, such as those who are uninsured or haven't had prenatal care until late in pregnancy. (AP Photo/John Raoux)",Europe offers clues for solving America’s maternal mortality crisis,https://apnews.com/article/maternal-mortality-rate-us-global-deaths-norway-211218f769e9a5a6e856a485fb31aef3
https://www.apnnews.com/,Health,1,6,"CORRECTS LOCATION TO WINTER GARDEN, NOT ORLANDO - Midwife Stephanie Wood of Commonsense Childbirth in Florida, examines Courtney Knight during a pregnancy checkup in Winter Garden, Fla., on Thursday, June 27, 2024. (AP Photo/Laura Ungar)",Europe offers clues for solving America’s maternal mortality crisis,https://apnews.com/article/maternal-mortality-rate-us-global-deaths-norway-211218f769e9a5a6e856a485fb31aef3
https://www.apnnews.com/,Health,1,7,"CORRECTS LOCATION TO WINTER GARDEN, NOT ORLANDO - Midwife Celena Brown of Commonsense Childbirth in Florida, examines Kayleigh Sturrup during a pregnancy checkup in Winter Garden, Fla., on Tuesday, June 25, 2024. (AP Photo/Laura Ungar)",Europe offers clues for solving America’s maternal mortality crisis,https://apnews.com/article/maternal-mortality-rate-us-global-deaths-norway-211218f769e9a5a6e856a485fb31aef3
https://www.apnnews.com/,Health,1,8,"CORRECTS LOCATION TO WINTER GARDEN, NOT ORLANDO - Midwife Celena Brown of Commonsense Childbirth in Florida, speaks with Kayleigh Sturrup during a pregnancy checkup in Winter Garden, Fla., on Tuesday, June 25, 2024, accompanied by Ezra Wagnac, the son of Sturrup's cousin. (AP Photo/Laura Ungar)",Europe offers clues for solving America’s maternal mortality crisis,https://apnews.com/article/maternal-mortality-rate-us-global-deaths-norway-211218f769e9a5a6e856a485fb31aef3
https://www.apnnews.com/,Health,1,9,"Marie Jean Denis, left, is examined by Jennie Joseph, lead midwife and clinic director at the Commonsense Childbirth clinic Wednesday, June 26, 2024, in Orlando, Fla. (AP Photo/John Raoux)",Europe offers clues for solving America’s maternal mortality crisis,https://apnews.com/article/maternal-mortality-rate-us-global-deaths-norway-211218f769e9a5a6e856a485fb31aef3
https://www.apnnews.com/,Health,2,1,"Idowu Bello, 56, poses for a photograph inside her house in Ibadan, Nigeria, Friday, Sept. 13, 2024. (AP Photo/Sunday Alamba)",Fortified bouillon cubes are seen as a way to curb malnutrition in Africa as climate worsens hunger,https://apnews.com/article/climate-change-nigeria-malnutrition-fortified-food-be665441b473f998c1199821d798879c
https://www.apnnews.com/,Health,2,2,"A worker checks bouillon cubes ahead of packaging at the Sweet Nutrition factory in Ota, Nigeria, Thursday, Sept. 12, 2024. (AP Photo/Sunday Alamba)",Fortified bouillon cubes are seen as a way to curb malnutrition in Africa as climate worsens hunger,https://apnews.com/article/climate-change-nigeria-malnutrition-fortified-food-be665441b473f998c1199821d798879c
https://www.apnnews.com/,Health,2,3,"Workers collect bouillon cubes packages at the Sweet Nutrition factory in Otta, Nigeria, Thursday, Sept. 12, 2024. (AP Photo/Sunday Alamba)",Fortified bouillon cubes are seen as a way to curb malnutrition in Africa as climate worsens hunger,https://apnews.com/article/climate-change-nigeria-malnutrition-fortified-food-be665441b473f998c1199821d798879c
https://www.apnnews.com/,Health,2,4,"Dr Augustine Okoruwa, a nutrition expert at Hellen Keller International, speaks during in an interview with The Associated Press in Ota, Nigeria, Thursday, Sept. 12, 2024. (AP Photo/Sunday Alamba)",Fortified bouillon cubes are seen as a way to curb malnutrition in Africa as climate worsens hunger,https://apnews.com/article/climate-change-nigeria-malnutrition-fortified-food-be665441b473f998c1199821d798879c
https://www.apnnews.com/,Health,2,5,"Idowu Bello, 56, buys cowhide to prepare a pot of soup in Ibadan, Nigeria, Friday, Sept. 13, 2024. (AP Photo/Sunday Alamba)",Fortified bouillon cubes are seen as a way to curb malnutrition in Africa as climate worsens hunger,https://apnews.com/article/climate-change-nigeria-malnutrition-fortified-food-be665441b473f998c1199821d798879c
https://www.apnnews.com/,Health,2,6,"Workers package bouillon cubes at the Sweet Nutrition factory in Ota, Nigeria, Thursday, Sept. 12, 2024. (AP Photo/Sunday Alamba)",Fortified bouillon cubes are seen as a way to curb malnutrition in Africa as climate worsens hunger,https://apnews.com/article/climate-change-nigeria-malnutrition-fortified-food-be665441b473f998c1199821d798879c
https://www.apnnews.com/,Health,2,7,"Idowu Bello, 56, buys onions to prepare a pot of soup at a market in Ibadan, Nigeria, Friday, Sept. 13, 2024. (AP Photo/Sunday Alamba)",Fortified bouillon cubes are seen as a way to curb malnutrition in Africa as climate worsens hunger,https://apnews.com/article/climate-change-nigeria-malnutrition-fortified-food-be665441b473f998c1199821d798879c
https://www.apnnews.com/,Health,2,8,"Idowu Bello, 56, prepares a meal in her kitchen in Ibadan, Nigeria, Friday, Sept. 13, 2024. (AP Photo/Sunday Alamba)",Fortified bouillon cubes are seen as a way to curb malnutrition in Africa as climate worsens hunger,https://apnews.com/article/climate-change-nigeria-malnutrition-fortified-food-be665441b473f998c1199821d798879c
https://www.apnnews.com/,Health,3,1,"Baby supplies and educational materials sit on a shelf in the office of Krystal Keener, a Healthy Start care coordinator based at the Oklahoma State University obstetrics and gynecology clinic, in Tulsa, Okla., on Tuesday, July 16, 2024. (AP Photo/Mary Conlon)","America is trying to fix its maternal mortality crisis with federal, state and local programs",https://apnews.com/article/maternal-mortality-healthy-start-oklahoma-california-new-york-city-0aa1fa2a141ef82607026b384cc14af7
